Negara,Persentase Kematian NCD,Tahun
"{'id': 'S3', 'value': 'Caribbean small states'}",21.4635697448566,2020
"{'id': '7E', 'value': 'Europe & Central Asia (excluding high income)'}",21.4624437454656,2019
"{'id': 'S3', 'value': 'Caribbean small states'}",21.4576900639273,2019
"{'id': '1A', 'value': 'Arab World'}",21.4449220007484,2014
"{'id': 'S3', 'value': 'Caribbean small states'}",21.4086848643211,2016
"{'id': 'XO', 'value': 'Low & middle income'}",21.4002476473126,2010
"{'id': 'ZT', 'value': 'IDA & IBRD total'}",21.346144101576,2011
"{'id': 'ZI', 'value': 'Africa Western and Central'}",21.3205802375854,2014
"{'id': 'XQ', 'value': 'Middle East & North Africa (excluding high income)'}",21.2984729365179,2012
"{'id': 'XQ', 'value': 'Middle East & North Africa (excluding high income)'}",21.2905366782406,2011
"{'id': 'T3', 'value': 'Middle East & North Africa (IDA & IBRD countries)'}",21.2895819062661,2012
"{'id': 'T3', 'value': 'Middle East & North Africa (IDA & IBRD countries)'}",21.275193054128,2011
"{'id': 'S3', 'value': 'Caribbean small states'}",21.2395811155888,2017
"{'id': 'S3', 'value': 'Caribbean small states'}",21.2309182402835,2018
"{'id': '1A', 'value': 'Arab World'}",21.1895885249652,2016
"{'id': 'XO', 'value': 'Low & middle income'}",21.1843887699215,2011
"{'id': 'XP', 'value': 'Middle income'}",21.181892322865,2010
"{'id': 'T3', 'value': 'Middle East & North Africa (IDA & IBRD countries)'}",21.1707734773744,2015
"{'id': 'XQ', 'value': 'Middle East & North Africa (excluding high income)'}",21.1644952932605,2015
"{'id': 'ZI', 'value': 'Africa Western and Central'}",21.1393200838383,2015
"{'id': 'ZT', 'value': 'IDA & IBRD total'}",21.0985386529635,2012
"{'id': 'T7', 'value': 'Europe & Central Asia (IDA & IBRD countries)'}",21.0953043211329,2020
"{'id': 'XF', 'value': 'IBRD only'}",21.0942576713649,2010
"{'id': '7E', 'value': 'Europe & Central Asia (excluding high income)'}",21.0107562116412,2020
"{'id': '1A', 'value': 'Arab World'}",20.9843329248905,2018
"{'id': 'ZI', 'value': 'Africa Western and Central'}",20.9742421234034,2016
"{'id': 'XO', 'value': 'Low & middle income'}",20.9737653727884,2012
"{'id': 'ZI', 'value': 'Africa Western and Central'}",20.9597855650118,2020
"{'id': 'XP', 'value': 'Middle income'}",20.9579462065566,2011
"{'id': 'B8', 'value': 'Central Europe and the Baltics'}",20.9014327108876,2011
"{'id': 'T3', 'value': 'Middle East & North Africa (IDA & IBRD countries)'}",20.8969044832687,2014
"{'id': 'XQ', 'value': 'Middle East & North Africa (excluding high income)'}",20.8920748637925,2014
"{'id': '1A', 'value': 'Arab World'}",20.8891406176307,2019
"{'id': '1A', 'value': 'Arab World'}",20.8641443540089,2017
"{'id': 'XQ', 'value': 'Middle East & North Africa (excluding high income)'}",20.8596521724631,2013
"{'id': 'T3', 'value': 'Middle East & North Africa (IDA & IBRD countries)'}",20.8585138171488,2013
"{'id': 'XF', 'value': 'IBRD only'}",20.817220539049,2011
"{'id': 'T7', 'value': 'Europe & Central Asia (IDA & IBRD countries)'}",20.7654157110679,2021
"{'id': 'T3', 'value': 'Middle East & North Africa (IDA & IBRD countries)'}",20.7641350736067,2016
"{'id': 'XQ', 'value': 'Middle East & North Africa (excluding high income)'}",20.7545841254156,2016
"{'id': 'ZI', 'value': 'Africa Western and Central'}",20.7513104360238,2017
"{'id': 'XP', 'value': 'Middle income'}",20.7479627548735,2012
"{'id': 'B8', 'value': 'Central Europe and the Baltics'}",20.6590132203976,2012
"{'id': 'ZT', 'value': 'IDA & IBRD total'}",20.6504800071489,2013
"{'id': 'ZI', 'value': 'Africa Western and Central'}",20.6416202020647,2018
"{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",20.6285129372989,2010
"{'id': 'ZQ', 'value': 'Middle East & North Africa'}",20.6270816307161,2010
"{'id': '1A', 'value': 'Arab World'}",20.6099712003165,2020
"{'id': 'XF', 'value': 'IBRD only'}",20.5765808562873,2012
"{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",20.5487160484445,2010
"{'id': 'XO', 'value': 'Low & middle income'}",20.5469501352952,2013
"{'id': 'ZI', 'value': 'Africa Western and Central'}",20.5262659614271,2019
"{'id': 'ZT', 'value': 'IDA & IBRD total'}",20.4262136598422,2014
"{'id': 'ZI', 'value': 'Africa Western and Central'}",20.4120478246161,2021
"{'id': 'T3', 'value': 'Middle East & North Africa (IDA & IBRD countries)'}",20.3789390987195,2018
"{'id': 'XQ', 'value': 'Middle East & North Africa (excluding high income)'}",20.3616174065953,2018
"{'id': 'ZT', 'value': 'IDA & IBRD total'}",20.3609751688867,2015
"{'id': 'T3', 'value': 'Middle East & North Africa (IDA & IBRD countries)'}",20.3560346154664,2017
"{'id': 'XQ', 'value': 'Middle East & North Africa (excluding high income)'}",20.3432052502255,2017
"{'id': 'XP', 'value': 'Middle income'}",20.3034076751198,2013
"{'id': 'T3', 'value': 'Middle East & North Africa (IDA & IBRD countries)'}",20.287126244685,2019
"{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",20.2788431583396,2011
"{'id': 'ZT', 'value': 'IDA & IBRD total'}",20.2764865516195,2016
"{'id': 'XQ', 'value': 'Middle East & North Africa (excluding high income)'}",20.2720634994256,2019
"{'id': 'XO', 'value': 'Low & middle income'}",20.2695500792664,2014
"{'id': 'XO', 'value': 'Low & middle income'}",20.2624036924865,2015
"{'id': 'B8', 'value': 'Central Europe and the Baltics'}",20.2229406521734,2013
"{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",20.1926808251051,2011
"{'id': '7E', 'value': 'Europe & Central Asia (excluding high income)'}",20.1830611082026,2021
"{'id': 'XO', 'value': 'Low & middle income'}",20.1701587315881,2016
"{'id': 'ZQ', 'value': 'Middle East & North Africa'}",20.1665612002211,2011
"{'id': '1A', 'value': 'Arab World'}",20.1364438303813,2021
"{'id': 'ZT', 'value': 'IDA & IBRD total'}",20.0801894081579,2018
"{'id': 'XF', 'value': 'IBRD only'}",20.0684530212073,2013
"{'id': 'ZT', 'value': 'IDA & IBRD total'}",20.0659619102776,2017
"{'id': 'V3', 'value': 'Late-demographic dividend'}",20.0623558765793,2010
"{'id': 'ZQ', 'value': 'Middle East & North Africa'}",20.0502480398482,2012
"{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",20.0139046396975,2012
"{'id': 'XP', 'value': 'Middle income'}",20.0118133366381,2014
"{'id': 'XP', 'value': 'Middle income'}",20.0017153239416,2015
"{'id': 'XO', 'value': 'Low & middle income'}",20.0016214721407,2018
"{'id': 'XO', 'value': 'Low & middle income'}",19.9940814698448,2017
"{'id': 'B8', 'value': 'Central Europe and the Baltics'}",19.9937392952543,2015
"{'id': 'ZT', 'value': 'IDA & IBRD total'}",19.9614967744291,2019
"{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",19.9278242718342,2012
"{'id': 'XO', 'value': 'Low & middle income'}",19.916639654794,2019
"{'id': 'XP', 'value': 'Middle income'}",19.9065004816837,2016
"{'id': 'B8', 'value': 'Central Europe and the Baltics'}",19.8444380609973,2014
"{'id': 'XF', 'value': 'IBRD only'}",19.8280718777542,2014
"{'id': 'T3', 'value': 'Middle East & North Africa (IDA & IBRD countries)'}",19.7894997296037,2020
"{'id': 'ZQ', 'value': 'Middle East & North Africa'}",19.780157767932,2015
"{'id': 'XF', 'value': 'IBRD only'}",19.7758583855712,2015
"{'id': 'XQ', 'value': 'Middle East & North Africa (excluding high income)'}",19.7750552242296,2020
"{'id': 'XP', 'value': 'Middle income'}",19.7348199322308,2018
"{'id': 'XO', 'value': 'Low & middle income'}",19.7324258204487,2020
"{'id': 'ZT', 'value': 'IDA & IBRD total'}",19.7319221872231,2020
"{'id': 'XP', 'value': 'Middle income'}",19.7223616541957,2017
"{'id': 'XF', 'value': 'IBRD only'}",19.6980779346433,2016
"{'id': 'ZT', 'value': 'IDA & IBRD total'}",19.6726046969681,2021
"{'id': 'XO', 'value': 'Low & middle income'}",19.6627138860404,2021
"{'id': 'XP', 'value': 'Middle income'}",19.6491077113908,2019
"{'id': 'ZQ', 'value': 'Middle East & North Africa'}",19.5863919142491,2013
"{'id': 'ZQ', 'value': 'Middle East & North Africa'}",19.5836572002297,2014
"{'id': 'V3', 'value': 'Late-demographic dividend'}",19.5732824514269,2011
"{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",19.534491875136,2013
"{'id': 'Z4', 'value': 'East Asia & Pacific'}",19.50089846996,2010
"{'id': 'XF', 'value': 'IBRD only'}",19.4924520826193,2018
"{'id': 'B8', 'value': 'Central Europe and the Baltics'}",19.4848197588692,2016
"{'id': 'Z7', 'value': 'Europe & Central Asia'}",19.4686636968386,2010
"{'id': 'XF', 'value': 'IBRD only'}",19.4575072518438,2017
"{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",19.4418498535005,2013
"{'id': 'XP', 'value': 'Middle income'}",19.4295797052948,2020
"{'id': 'XP', 'value': 'Middle income'}",19.4131484296597,2021
"{'id': 'T3', 'value': 'Middle East & North Africa (IDA & IBRD countries)'}",19.4045300398465,2021
"{'id': 'XQ', 'value': 'Middle East & North Africa (excluding high income)'}",19.394933027117,2021
"{'id': 'ZQ', 'value': 'Middle East & North Africa'}",19.3902072145185,2016
"{'id': 'XF', 'value': 'IBRD only'}",19.3753891548427,2019
"{'id': 'S3', 'value': 'Caribbean small states'}",19.3059824717861,2021
"{'id': 'B8', 'value': 'Central Europe and the Baltics'}",19.2811997492132,2017
"{'id': 'B8', 'value': 'Central Europe and the Baltics'}",19.235474353813,2018
"{'id': 'Z4', 'value': 'East Asia & Pacific'}",19.1852044632479,2011
"{'id': 'XF', 'value': 'IBRD only'}",19.1654358569345,2021
"{'id': 'V3', 'value': 'Late-demographic dividend'}",19.1583439904035,2012
"{'id': 'ZQ', 'value': 'Middle East & North Africa'}",19.140110654591,2018
"{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",19.1104865198785,2014
"{'id': 'ZQ', 'value': 'Middle East & North Africa'}",19.0909866282615,2017
"{'id': 'ZQ', 'value': 'Middle East & North Africa'}",19.0812032466457,2019
"{'id': 'XF', 'value': 'IBRD only'}",19.0555099699635,2020
"{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",19.013211570441,2014
"{'id': 'Z4', 'value': 'East Asia & Pacific'}",18.9312639932498,2012
"{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",18.8405514209094,2015
"{'id': 'B8', 'value': 'Central Europe and the Baltics'}",18.8223382028375,2020
"{'id': 'Z7', 'value': 'Europe & Central Asia'}",18.821098200299,2011
"{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",18.7381446918498,2015
"{'id': 'B8', 'value': 'Central Europe and the Baltics'}",18.6685032211987,2019
"{'id': 'V3', 'value': 'Late-demographic dividend'}",18.6233832432638,2013
"{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",18.6205481942835,2016
"{'id': 'ZQ', 'value': 'Middle East & North Africa'}",18.5988210976909,2020
"{'id': 'B8', 'value': 'Central Europe and the Baltics'}",18.5850457355208,2021
"{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",18.5224816827466,2016
"{'id': 'Z4', 'value': 'East Asia & Pacific'}",18.4852672042781,2013
"{'id': 'Z7', 'value': 'Europe & Central Asia'}",18.334932040016,2012
"{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",18.306521146894,2017
"{'id': 'ZQ', 'value': 'Middle East & North Africa'}",18.3003367899805,2021
"{'id': 'V3', 'value': 'Late-demographic dividend'}",18.2663760606184,2014
"{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",18.217787783333,2017
"{'id': 'Z4', 'value': 'East Asia & Pacific'}",18.0934856207435,2014
"{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",18.074276859646,2018
"{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",17.994392537772,2018
"{'id': 'Z7', 'value': 'Europe & Central Asia'}",17.9518922974306,2014
"{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",17.9450576905199,2019
"{'id': 'V3', 'value': 'Late-demographic dividend'}",17.8922557076099,2015
"{'id': 'Z7', 'value': 'Europe & Central Asia'}",17.883416380291,2013
"{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",17.8641020243465,2019
"{'id': 'Z4', 'value': 'East Asia & Pacific'}",17.8302639882389,2015
"{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",17.8139500657651,2021
"{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",17.74273877724,2021
"{'id': 'V3', 'value': 'Late-demographic dividend'}",17.6674943700797,2016
"{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",17.650605683817,2020
"{'id': 'Z4', 'value': 'East Asia & Pacific'}",17.6369394404241,2016
"{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",17.5701823110734,2020
"{'id': 'Z7', 'value': 'Europe & Central Asia'}",17.4923379350333,2015
